"8 SIDOR","15759997"
"ACADEMISKA OCH STIFTS TIDNINGAR UTG. I LUND FÖR ÅR 1773 AF G.S.","08667xhcx8zwx7mj"
"ADRESS- & VARUTIDNING","4fr1qj1x2ddfhktc"
"ADRESS- HYRES- OCH ANNONSBLADET","cn08zv8s98fbzw73"
"ADRESS-KONTOR FÖR ÖSTERGÖTLAND MED WADSTENA LÄN","7hcm0jr25pjw5dsc"
"ADRESSBLADET","1bnxmm42zgj3ps4j"
"AFFISCHEN, TIDNING FÖR STOCKHOLMS TEATRAR OCH KONSERTSALONGER","dt6whwvhb5j7j8lg"
"AFFÄRSLISTAN","3dq0prw312xgt8jh"
"AFTONBLADET","4345612"
"AFTONBLADET (GÖTEBORG : 1811)","22576754"
"AFTONBLADET HALVVECKOUPPLAGAN","2hvk5thd04t5zsl7"
"AFTONBLADET I NORRKÖPING","pzxp59w7m2nh24d0"
"AFTONBLADET VECKOUPPLAGAN","m2f4qjf7kxrg2bwv"
"AFTONTIDNINGEN (1889)","s3rkbgwcqf76sm97"
"AFTONTIDNINGEN BIHANG TILL DAGLIGT ALLEHANDA","fs7g74r5ct1nwfzg"
"AKHBĀR SKŪNIH","15982961"
"AKTUELLT I POLITIKEN (1994), AIP","fzg38jzmcr1wtgwh"
"ALEKURIREN","15536600"
"ALFVESTA TIDNING","t4gqfndfr79h6nm7"
"ALFWAR OCH SKÄMT","19227594"
"ALINGSÅS TIDNING","15760000"
"ALINGSÅS WECKOBLAD","hrvjwzpqfwc5tkg9"
"ALINGSÅSKURIREN","15760001"
"ALLEHANDA (LINDESBERG : 1882)","jtd98g35g06qgcqj"
"ALLEHANDA (STOCKHOLM : 1899)","8k71s0tx6hhlq8xd"
"ALLEHANDA FÖR FOLKET","hsc87hd2fns89k4z"
"ALLMÄNNA ANNONSBLADET","mxhdcq5dk1d2kgp5"
"ALLMÄNNA HYRESLISTAN","v5tmdnmwst2shst9"
"ALLMÄNNA JOURNALEN","s9q5hs87q3qs8973"
"ALLMÄNNA LÄNSTIDNINGEN","nz9k8k1plscd8q8j"
"ALLMÄNNA TIDNINGAR (NYKÖPING : 1782)","2bpvzfd009l5b2rq"
"ALLMÄNNA TIDNINGEN (STOCKHOLM : 1853)","fpqxd08mc1tqfxg7"
"AMERIKA (GÖTEBORG : 1869)","22685832"
"AMERIKA (STOCKHOLM : 1896)","22685834"
"AMERIKABLADET","22685835"
"AMERIKANAREN","22685851"
"AMERIKANSKA POSTEN","22685853"
"ANMÄRCKNINGAR WID SWENSKE POSTTIDNINGARNE","8k71t6fc6fl3qx5j"
"ANNANDAGENS FILMNYHETER","k1d9f4cnhfwd18lv"
"ANNONS- OCH NYHETSBLAD FÖR STADEN LUND","5kc57d403xx1jnhp"
"ANNONSBLAD FÖR DALARNE","7jv4v6jw5pj9h7lp"
"ANNONSBLAD FÖR ELFSBORGS LÄN","r3rqmlxbp08dckvw"
"ANNONSBLAD FÖR GOTLAND","cpcb78jp989wnvsp"
"ANNONSBLAD FÖR INDUSTRI HANDTVERK OCH HANDEL.","8jlgmxs168nc5v1t"
"ANNONSBLAD FÖR RESANDE","x7wphxdgvsbvd6th"
"ANNONSBLAD TILL TIDSKRIFT FÖR LANDTMÄN","lwbvzhdxjhf2v2b6"
"ANNONSBLADET (NORRKÖPING : 1898)","m0n4v9w4kxt81m72"
"ANNONSBLADET (STOCKHOLM : 1869)","t4sldzpdr4h1knj1"
"ANNONSBLADET (STOCKHOLM : 1875)","hsg82pczf5l4skwh"
"ANNONSBLADET DALARNA","15760581"
"ANNONSERNA","r3k9xv18prswmllv"
"ANNONSKURIREN","r128wh9lpfkx8mlk"
"ANNONSNYHETER","6h5zrg2z4p6sbnjs"
"ANNONSPOSTEN","fqd60s82cv9svp3n"
"ANNONSTABELL","fqd60v30c06rw6jk"
"ANNONSTIDNING FÖR STRENGNÄS STAD OCH LANDSORT","hrsh9d65ft59mc1j"
"ANNONSTIDNING FÖR UPLAND OCH WESTMANLAND","q2qpmpd2np4j6l4f"
"ANNONSTIDNINGEN","r4s80js6pprz1hp3"
"ANNONSÖREN (STOCKHOLM : 1883)","7hjq501f5pz8b5x4"
"ANNONSÖREN (STOCKHOLM : 1894)","cnb4xv819nffrt23"
"ANSGARII-POSTEN","drms96dlbsbjnr9z"
"ARBETARBLADET (1902), ORGAN FÖR SVERIGES SOCIALDEMOKRATISKA ARBETARPARTI TIDNING FÖR NEDRE NORRLAND, NORRA UPPLAND OCH DALARNA","15760616"
"ARBETAREBLADET (1869)","x8xwt1tjv9wd2pln"
"ARBETAREN (GÖTEBORG : 1869)","lwdsj5msjcp6kp5f"
"ARBETAREN (MOTALA : 1902)","jvx302mwg16msmb1"
"ARBETAREN (STOCKHOLM : 1881)","ktv2qtxbhg2vg59l"
"ARBETAREN (STOCKHOLM : 1922)","dsm832gsbkdxmjhb"
"ARBETARENS VÄN","9qdpqj2s71vgn8fv"
"ARBETARENS VÄN VECKOUPPLAGAN","1b0slmz1z4ct8q4r"
"ARBETARETIDNINGEN","5g4xqs2m3sz21dt9"
"ARBETAREVÄNNEN","6h0gwkv3477qfjcf"
"ARBETARTIDNINGEN","20777844"
"ARBETET (1887)","19962119"
"ARBETET VÄSTSVENSKA EDITIONEN","js70jzl7gvslfz25"
"ARBETET NYHETERNA (ED. GÖTEBORG : 1991)","4dtl4gp42kfj1698"
"ARBETSGIFVAREN","5hkqmxm531lz9zwp"
"ARBOGA","2d21xk7c09tsd1bc"
"ARBOGA NYHETER","4gjpl07s2557h1q9"
"ARBOGA TIDNING (1851)","x8bhfv93vx2f0dl1"
"ARBOGA TIDNING (1858)","8jrf0m0b6wlfwjv8"
"ARBOGA TIDNING (1881)","15760618"
"ARBOGA WECKOBLAD (1839)","22543035"
"ARBOGA WECKOBLAD (1847)","22543082"
"ARBOGA WECKOBLAD (1856)","5j6nd0qj3s46prhf"
"ARBOGA WECKOBLAD (1867)","cqlr87nb9gr3hb05"
"ARBOGABLADET","22543098"
"ARBOGAPOSTEN (1880)","9m98501r7hsqcspn"
"ARGUS DEN IV","kvjb49vfh4chdrgc"
"ARGUS, POLITISK, LITTERÄR OCH COMMERCIELL TIDNING","4dh5jrf823p1cj1c"
"ARLEKIN","x7wphqc8v59mf8st"
"AROS :, TIDNING FÖR WESTERÅS STAD OCH LÄN","6j664fm54k9h78t5"
"ARVIKA ALLEHANDA","kwkkhwm1hxcvjrjw"
"ARVIKA NYHETER","15760626"
"ARVIKA TIDNING","fs75wr6wchw1bd12"
"ARVIKAKURIREN","z9rh45bqwpljxd1h"
"ASKERSUNDS TIDNING (1857)","t79lmc8tr5b0bjl7"
"ASKERSUNDS VECKOBLAD","bqs34zkw8jm9l1rn"
"ASKERSUNDSTIDNINGEN SYDNERKINGEN","x9zf5tlfv9cx4t5c"
"AURORA","5k66mxr93kb6vdvk"
"AVESTA ALLEHANDA","4g4315n92svzknb3"
"AVESTA TIDNING","15760661"
"AVESTAPOSTEN","9nz0x36d751qbrhc"
"AVISEN, INTERNATIONELL TIDNING FÖR RESANDE","5g4xq12l3vh4780v"
